Familia	Especie	Categoría	Criterios	Fecha_evaluación	Fecha_publicación	Iniciativa	Estado
Acanthaceae	Aphelandra crispata	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Acanthaceae	Aphelandra formosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Acanthaceae	Aphelandra kingii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Aphelandra mildbraediana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra pharangophila	NT		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra porphyrocarpa	VU	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra taborensis	CR	B1ab(iii)+2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Acanthaceae	Aphelandra trianae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Acanthaceae	Justicia bracteosa	LC		2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Justicia cabrerae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia cuatrecasasii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia gutierrezii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia hyperdasya	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia neurochlamys	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia pelianthia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Justicia phytolaccoides	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Acanthaceae	Mendoncia caquetensis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia cuatrecasasii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia garciae	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia phalacra	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Mendoncia zarucchii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Pseuderanthemum galbanum	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia obtusa	LC		2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia potamophila	VU	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Acanthaceae	Ruellia uribei	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Amazonia - SINCHI, Universidad de Antioquia	en proceso
Acanthaceae	Stenostephanus cleefii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Achariaceae	Carpotroche grandiflora	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Carpotroche pacifica	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Carpotroche ramosii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Achariaceae	Mayna pubescens	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Achariaceae	Mayna suaveolens	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia alloplectifolia	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia arnoldii	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia aromatica	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia chiliantha	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia chocoensis	VU	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia choriophylla	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia laevigata	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia micayensis	VU	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia oroquensis	CR	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia parviflora	LC		2018	2020	Lista Roja Global - Especie endemica de Colombia	Publicada (UICN)
Actinidiaceae	Saurauia peduncularis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Actinidiaceae	Saurauia portachuelensis	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia pseudoleucocarpa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Actinidiaceae	Saurauia pulchra	VU	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia putumayonis	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia schultesiana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia stapfiana	LC		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia strigillosa	NT		2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Actinidiaceae	Saurauia tomentosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Adoxaceae	Viburnum antioquiense	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum axillare	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum lehmannii	VU	B1ab(iii,iv)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum subsessile	EN	B1ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Adoxaceae	Viburnum suratense	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Alstroemeriaceae	Bomarea hazenii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Endemicas Paramo - Universidad de Antioquia	en proceso
Amaryllidaceae	Eucharis caucana	EN	B1ab(iii)	2021	en proceso	LR GEPC - Endemicas Bosque Seco - Instituto Humboldt, Universidad de Antioquia	en proceso
Amaryllidaceae	Phaedranassa lehmannii	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Amaryllidaceae	Urceolina bonplandii	en proceso	en proceso	2024	en proceso	Germán Torres	en proceso
Amblystegiaceae	Gradsteinia andicola	LC		2019	2022	LR GEPC - Especies en Veda - MinAmbiente, Instituto Humboldt, ICN/Universidad Nacional	Publicada (UICN + SIB)
Anacardiaceae	Anacardium caracolii	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Anacardium excelsum	NT		2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Anacardiaceae	Anacardium negrense	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Campnosperma panamense	NT		2007	2007	Libros Rojos - ICN/Universidad Nacional, SINCHI, Instituto Humboldt	Publicada (Serie Libros Rojos)
Anacardiaceae	Mauria cuatrecasasii	EN	B2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Anacardiaceae	Mauria obtusifolia	EN	B1ab(iii)+2ab(iii)	2020	2020	LR GEPC - Endemicas Arboles - Universidad de Antoquia, Global Tree Assessment BGCI	Publicada (UICN)
Anacardiaceae	Mauria simplicifolia	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Tapirira pilosa	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
Anacardiaceae	Tapirira rubrinervis	en proceso	en proceso	en proceso	en proceso	LR GEPC - Arboles - Universidad de Antioquia, Global Tree Assessment BGCI	en proceso
